time,Ge_noisy
0.0,4.50223521368855
11.2751677852349,4.49710912729206
22.5503355704698,4.497665966957904
33.8255033557047,4.497891410504208
45.1006711409396,4.4853923627710826
56.375838926174495,4.479652918796871
67.6510067114094,4.480629735813881
78.9261744966443,4.468122717121247
92.45637583892616,4.449050181789251
103.73154362416106,4.439184641442595
115.00671140939596,4.416886145676407
126.28187919463086,4.394673694253311
137.55704697986576,4.370190738084054
148.83221476510067,4.326521686483296
160.10738255033556,4.284797629830006
173.63758389261744,4.224860127836104
184.91275167785236,4.154395154832847
196.18791946308724,4.074868871788936
207.46308724832213,3.964876965583882
218.73825503355704,3.8331436795655907
230.01342281879192,3.6839636541491227
241.28859060402684,3.4820639866681473
254.81879194630872,3.1952890994140075
266.09395973154363,2.9080380087938713
277.3691275167785,2.5929449645587197
288.6442953020134,2.2476623806723603
299.9194630872483,1.8777838773311177
311.1946308724832,1.5046658638246517
322.4697986577181,1.1353979605886053
336.0,0.7330942676562965
